-15.8909	4.12644	-44.9988
-11.3482	0.862706	47.0924
-14.946	2.20413	-43.7426
-8.75461	-2.20815	-46.9497
-28.3192	7.72412	26.9764
-33.4161	3.56915	-19.7309
-9.84206	1.33371	47.0365
-18.2468	-2.35341	43.826
-7.44097	1.07343	-46.7983
-34.5751	-2.21168	10.4576
-29.5442	0.350283	-8.36863
-23.7296	-3.31401	-33.6275
-14.3664	4.39867	36.9271
-11.2081	-1.35328	47.6507
-29.7475	-0.6445	20.5661
-17.7399	-5.36022	42.044
-25.8075	1.1297	30.4368
-23.685	8.37818	-35.8355
-33.4693	5.61176	1.51323
-27.2464	0.132548	-29.4968
-15.9231	-5.44423	42.5408
-12.55	0.250152	-46.976
-16.9849	2.84095	40.8304
-22.5376	5.3619	-36.9131
-33.361	-4.42358	18.7632
-19.2329	7.71645	-39.657
-19.8421	-1.66954	-40.9685
-11.0441	-0.388846	-48.0863
-13.7037	-3.13832	43.3704
-15.0025	4.83697	-44.8305
-15.6147	-1.30001	-44.061
-24.6804	4.38685	-35.9033
-28.3733	-6.2369	-19.9756
-13.0301	-3.38401	-45.3829
-26.9595	-1.4225	-28.3114
-33.7802	0.0335104	-23.2962
-17.6273	-6.16568	38.1342
-28.802	-2.65866	-10.8889
-8.04414	-1.59809	-47.3393
-11.789	0.37415	-47.7029
-9.71951	1.23344	45.8278
-26.2925	-5.87872	-12.2583
-25.0995	-9.09025	12.9873
-26.0493	-3.03333	-31.5668
-29.1359	6.07878	22.7079
-31.3425	0.894291	23.8743
-31.6209	-4.64672	20.885
-18.5697	-0.834479	-37.0568
-9.38672	1.15406	47.4682
-19.6096	1.6584	39.7634
-19.4577	-1.24851	35.9173
-19.2649	-6.14748	37.7598
-16.8045	-3.09615	-41.3118
-16.3237	-4.76887	-43.2031
-22.2627	-7.92633	-36.6001
-13.6107	0.277339	46.8173
-21.0497	-1.84416	-40.9333
-16.0999	2.21028	-44.3781
-30.8517	-4.91196	25.8946
-20.9035	8.51204	-39.6853
-21.8427	6.7216	-38.4846
-29.8089	9.72803	26.8261
-28.6162	10.8101	7.76951
-21.1418	3.19056	39.7144
